#    L    TT             EE             BB             TE          
   369   0.707512E+04   0.106531E+02   0.545869E+02   0.545870E+02
   370   0.706709E+04   0.106720E+02   0.547356E+02   0.546073E+02
   371   0.705906E+04   0.106909E+02   0.548841E+02   0.546273E+02
   372   0.705104E+04   0.107097E+02   0.550325E+02   0.546470E+02
   373   0.704303E+04   0.107283E+02   0.551807E+02   0.546663E+02
   374   0.703502E+04   0.107469E+02   0.553287E+02   0.546853E+02
   375   0.702702E+04   0.107654E+02   0.554766E+02   0.547040E+02
   376   0.701902E+04   0.107839E+02   0.556243E+02   0.547223E+02
   377   0.701103E+04   0.108022E+02   0.557718E+02   0.547403E+02
   378   0.700304E+04   0.108204E+02   0.559192E+02   0.547580E+02
   379   0.699506E+04   0.108386E+02   0.560663E+02   0.547753E+02
   380   0.698708E+04   0.108567E+02   0.562133E+02   0.547923E+02
   381   0.697911E+04   0.108747E+02   0.563601E+02   0.548089E+02
   382   0.697114E+04   0.108926E+02   0.565067E+02   0.548252E+02
   383   0.696318E+04   0.109104E+02   0.566532E+02   0.548412E+02
   384   0.695522E+04   0.109281E+02   0.567994E+02   0.548568E+02
   385   0.694727E+04   0.109457E+02   0.569455E+02   0.548721E+02
   386   0.693932E+04   0.109632E+02   0.570913E+02   0.548871E+02
   387   0.693138E+04   0.109807E+02   0.572370E+02   0.549017E+02
   388   0.692345E+04   0.109981E+02   0.573825E+02   0.549159E+02
   389   0.691551E+04   0.110153E+02   0.575278E+02   0.549298E+02
   390   0.690758E+04   0.110325E+02   0.576729E+02   0.549434E+02
   391   0.689966E+04   0.110496E+02   0.578178E+02   0.549566E+02
   392   0.689174E+04   0.110666E+02   0.579625E+02   0.549694E+02
   393   0.688383E+04   0.110836E+02   0.581070E+02   0.549820E+02
   394   0.687592E+04   0.111004E+02   0.582513E+02   0.549941E+02
   395   0.686802E+04   0.111171E+02   0.583954E+02   0.550059E+02
   396   0.686012E+04   0.111338E+02   0.585393E+02   0.550174E+02
   397   0.685222E+04   0.111504E+02   0.586830E+02   0.550285E+02
